Breed,Age,Color,Sex,Class
,Infant - Younger than 6 months,MALE,BLACK,Other
,Older than 1 year,FEMALE,ORANGE,Euthanized
,,MALE,GRAY,Other
,Infant - Younger than 6 months,UNKNOWN,BLACK,Euthanized
ROTTWEILER - LABRADOR RETR,,MALE,BLACK,Euthanized
,Older than 1 year,FEMALE,TAN,Home
,Infant - Younger than 6 months,MALE,ORANGE,Other
JACK RUSS TER - MIX,Older than 1 year,FEMALE,BROWN,Home
BEAGLE - MIX,,FEMALE,TRICOLOR,Euthanized
,,UNKNOWN,CRM TABBY,Euthanized
,,MALE,BLACK,Euthanized
,Older than 1 year,FEMALE,BLACK,Other
,Older than 1 year,MALE,BLACK,Euthanized
CHIHUAHUA SH - MIX,Infant - Younger than 6 months,MALE,WHITE,Home
,,FEMALE,FAWN,Home
,Older than 7 years,MALE,BLACK,Home
,,FEMALE,BLACK,Other
,Older than 1 year,MALE,WHITE,Home
,Youth - Younger than 1 year,FEMALE,CHOCOLATE,Other
,Older than 1 year,FEMALE,GRAY,Euthanized
,,FEMALE,TAN,Other
,Infant - Younger than 6 months,MALE,WHITE,Home
,Older than 1 year,MALE,BLACK,Home
,,FEMALE,BLACK,Other
,Older than 1 year,FEMALE,BLACK,Euthanized
,Older than 1 year,FEMALE,BRN TABBY,Other
GERM SHEPHERD - SIBERIAN HUSKY,,FEMALE,BLACK,Home
,Older than 1 year,FEMALE,TORTIE,Euthanized
CHIHUAHUA SH - MIN PINSCHER,Older than 1 year,MALE,GOLD,Home
,Infant - Younger than 6 months,MALE,WHITE,Home
,,MALE,GRAY,Euthanized
,,FEMALE,CALICO,Euthanized
,,UNKNOWN,ORG TABBY,Euthanized
,,FEMALE,BLACK,Euthanized
,Older than 1 year,FEMALE,CHOCOLATE,Home
,,MALE,BLACK,Euthanized
